Year,m,d,Time,Time zone,Precipitation amount (mm),Air temperature (degC),Wind direction (deg),Gust speed (m/s),Wind speed (m/s)
2023,1,1,00:00,UTC,0.3,1.2,234,6.1,2.7
2023,1,1,01:00,UTC,0,1.1,256,7.2,3.5
2023,1,1,02:00,UTC,0,1.6,253,10.4,4.5
2023,1,1,03:00,UTC,0,1,266,10.1,4.7
2023,1,1,04:00,UTC,0,0.7,272,9.9,4.7
2023,1,1,05:00,UTC,0,0.6,268,9,4.1
2023,1,1,06:00,UTC,0,0.2,260,9.7,4.3
2023,1,1,07:00,UTC,0,-0.2,267,10.5,4.6
2023,1,1,08:00,UTC,0,-0.2,271,10.1,4.6
2023,1,1,09:00,UTC,0,-0.9,266,8.2,4
2023,1,1,10:00,UTC,0,-1.4,270,6.6,3
2023,1,1,11:00,UTC,0,-0.2,284,8.5,4.2
2023,1,1,12:00,UTC,0,-0.4,276,8.6,3.5
2023,1,1,13:00,UTC,0,-0.1,283,8,3.8
2023,1,1,14:00,UTC,0.2,-0.8,292,10.9,5.5
2023,1,1,15:00,UTC,0.2,-0.1,279,8.7,4.6
2023,1,1,16:00,UTC,0.5,-0.7,280,11.5,6.5
2023,1,1,17:00,UTC,0.1,0.1,292,12.3,6.7
2023,1,1,18:00,UTC,0,0.1,301,12.3,6.7
2023,1,1,19:00,UTC,0,-0.1,306,11.4,7.1
2023,1,1,20:00,UTC,0,-0.5,305,11.4,6.1
2023,1,1,21:00,UTC,0,-0.9,304,10.5,6.1
2023,1,1,22:00,UTC,0,-1.1,301,8,4.5
2023,1,1,23:00,UTC,0,-1.8,302,7.9,4.6
2023,1,2,00:00,UTC,0,-2.3,282,5.1,2.9
2023,1,2,01:00,UTC,0,-3,283,4.7,1.8
2023,1,2,02:00,UTC,0,-2.5,288,4.8,2.9
2023,1,2,03:00,UTC,0,-2.4,288,6,3.4
2023,1,2,04:00,UTC,0,-2.3,277,4.6,2.5
2023,1,2,05:00,UTC,0,-2.7,264,3.1,1.5
2023,1,2,06:00,UTC,0,-1.6,273,7.3,2.8
2023,1,2,07:00,UTC,0,-1,273,7.1,3.6
2023,1,2,08:00,UTC,0,-1.5,271,6.3,2.9
2023,1,2,09:00,UTC,0,-1.6,235,3.8,1.5
2023,1,2,10:00,UTC,0,-2,266,4.9,2.2
2023,1,2,11:00,UTC,0,-2.3,250,4.4,1.7
2023,1,2,12:00,UTC,0,-2.4,255,4.3,1.4
2023,1,2,13:00,UTC,0,-4,232,2.5,1.4
2023,1,2,14:00,UTC,0,-7.1,220,1.8,1.2
2023,1,2,15:00,UTC,0,-8,194,2.7,1.9
2023,1,2,16:00,UTC,0,-9,183,1.8,1.2
2023,1,2,17:00,UTC,0,-10.1,171,1.6,1
2023,1,2,18:00,UTC,0,-11.4,171,1.7,1
2023,1,2,19:00,UTC,0,-11.8,142,1.3,0.8
2023,1,2,20:00,UTC,0,-10.3,168,1.4,0.9
2023,1,2,21:00,UTC,0,-9.4,120,2.7,1.5
2023,1,2,22:00,UTC,0,-8.7,134,2.6,1.6
2023,1,2,23:00,UTC,0,-8.6,151,2.7,1.6
2023,1,3,00:00,UTC,0,-8.7,138,3,1.5
2023,1,3,01:00,UTC,0,-8.6,136,3.3,2
